mapName,areaId,areaName,northWestX,northWestY,northWestZ,southEastX,southEastY,southEastZ
cs_assault,1014,Street,inf,-inf,-863.96875,inf,-inf,-863.96875
cs_assault,2121,Street,inf,-inf,-871.96875,inf,-inf,-863.96875
cs_assault,3631,,inf,-inf,-566.96875,inf,-inf,-566.96875
cs_assault,3918,Warehouse,inf,-inf,-787.68927,inf,-inf,-768.801758
cs_assault,5145,Street,inf,-inf,-871.96875,inf,-inf,-871.96875
cs_assault,280,Catwalk,inf,-inf,-607.96875,inf,-inf,-607.96875
cs_assault,472,Catwalk,inf,-inf,-607.96875,inf,-inf,-607.96875
cs_assault,501,Underpass,inf,-inf,-862.736633,inf,-inf,-861.220032
cs_assault,5499,Roof,inf,-inf,-434.397186,inf,-inf,-444.273682
cs_assault,5553,,inf,-inf,-409.605103,inf,-inf,-434.397217
cs_assault,3796,Alley,inf,-inf,-728.869568,inf,-inf,-745.38623
cs_assault,5164,,inf,-inf,-607.96875,inf,-inf,-607.96875
cs_assault,1365,Street,inf,-inf,-810.698181,inf,-inf,-812.289185
cs_assault,2102,,inf,-inf,-871.96875,inf,-inf,-863.96875
cs_assault,2207,Street,inf,-inf,-863.96875,inf,-inf,-871.96875
cs_assault,488,FrontEntrance,inf,-inf,-875.350098,inf,-inf,-875.832703
cs_assault,1414,Alley,inf,-inf,-863.96875,inf,-inf,-863.96875
cs_assault,4738,Underpass,inf,-inf,-869.494934,inf,-inf,-868.780151
cs_assault,3903,,inf,-inf,-863.96875,inf,-inf,-863.96875
cs_assault,4379,Underpass,inf,-inf,-871.96875,inf,-inf,-871.96875
cs_assault,5247,,inf,-inf,-394.891296,inf,-inf,-406.714386
cs_assault,5467,Roof,inf,-inf,-362.046814,inf,-inf,-385.014832
cs_assault,910,FrontEntrance,inf,-inf,-863.96875,inf,-inf,-863.96875
cs_assault,2323,,inf,-inf,-858.264771,inf,-inf,-863.96875
cs_assault,2553,Overpass,inf,-inf,-531.96875,inf,-inf,-567.96875
cs_assault,4143,FrontEntrance,inf,-inf,-871.96875,inf,-inf,-864.611816
cs_assault,5092,Underpass,inf,-inf,-871.96875,inf,-inf,-864.579346
cs_assault,5102,Street,inf,-inf,-871.96875,inf,-inf,-863.96875
cs_assault,5360,,inf,-inf,-406.714447,inf,-inf,-394.941406
cs_assault,5562,Alley,inf,-inf,-863.96875,inf,-inf,-863.96875
cs_assault,425,Underpass,inf,-inf,-863.96875,inf,-inf,-866.928589
cs_assault,1840,CTSpawn,inf,-inf,-813.550232,inf,-inf,-863.96875
cs_assault,4105,Street,inf,-inf,-871.96875,inf,-inf,-871.96875
cs_assault,2003,Street,inf,-inf,-863.96875,inf,-inf,-863.96875
cs_assault,4989,Street,inf,-inf,-863.96875,inf,-inf,-871.96875
cs_assault,4940,CTSpawn,inf,-inf,-871.96875,inf,-inf,-863.96875
cs_assault,5451,Roof,inf,-inf,-434.397186,inf,-inf,-420.360077
cs_assault,469,Catwalk,inf,-inf,-607.96875,inf,-inf,-607.96875
cs_assault,1142,Office,inf,-inf,-607.96875,inf,-inf,-607.96875
cs_assault,2295,Street,inf,-inf,-871.96875,inf,-inf,-863.96875
cs_assault,739,Truck,inf,-inf,-863.96875,inf,-inf,-863.96875
cs_assault,4657,Overpass,inf,-inf,-531.96875,inf,-inf,-531.96875
cs_assault,4706,Alley,inf,-inf,-819.842957,inf,-inf,-865.501404
cs_assault,5022,Street,inf,-inf,-871.96875,inf,-inf,-863.96875
cs_assault,5472,Roof,inf,-inf,-386.344482,inf,-inf,-409.706024
cs_assault,304,Street,inf,-inf,-863.96875,inf,-inf,-864.079407
cs_assault,444,Street,inf,-inf,-863.96875,inf,-inf,-863.96875
cs_assault,447,Street,inf,-inf,-871.96875,inf,-inf,-871.96875
cs_assault,5346,Roof,inf,-inf,-394.891296,inf,-inf,-399.829498
cs_assault,5689,Alley,inf,-inf,-865.501343,inf,-inf,-864.481018
cs_assault,682,Warehouse,inf,-inf,-831.96875,inf,-inf,-831.96875
cs_assault,3668,Office,inf,-inf,-607.96875,inf,-inf,-607.96875
cs_assault,3976,,inf,-inf,-711.075562,inf,-inf,-711.075562
cs_assault,996,Street,inf,-inf,-863.96875,inf,-inf,-864.079346
cs_assault,1455,Street,inf,-inf,-863.96875,inf,-inf,-863.96875
cs_assault,4606,Underpass,inf,-inf,-857.728882,inf,-inf,-851.554565
cs_assault,176,Overpass,inf,-inf,-531.96875,inf,-inf,-531.96875
cs_assault,190,Alley,inf,-inf,-865.297302,inf,-inf,-865.501343
cs_assault,300,Underpass,inf,-inf,-856.112915,inf,-inf,-857.375977
cs_assault,1158,Warehouse,inf,-inf,-735.96875,inf,-inf,-735.96875
cs_assault,4384,,inf,-inf,-863.96875,inf,-inf,-863.96875
cs_assault,5323,Roof,inf,-inf,-381.595703,inf,-inf,-404.767731
cs_assault,5613,Catwalk,inf,-inf,-607.96875,inf,-inf,-607.96875
cs_assault,323,Street,inf,-inf,-863.96875,inf,-inf,-864.079346
cs_assault,672,Warehouse,inf,-inf,-735.96875,inf,-inf,-735.96875
cs_assault,843,Warehouse,inf,-inf,-735.96875,inf,-inf,-737.73999
cs_assault,5192,Roof,inf,-inf,-365.261932,inf,-inf,-394.891296
cs_assault,2237,Street,inf,-inf,-864.513977,inf,-inf,-864.223633
cs_assault,4650,,inf,-inf,-863.96875,inf,-inf,-864.079407
cs_assault,4731,Underpass,inf,-inf,-860.254944,inf,-inf,-857.670898
cs_assault,2203,Street,inf,-inf,-864.431152,inf,-inf,-863.96875
cs_assault,4112,Street,inf,-inf,-863.96875,inf,-inf,-863.96875
cs_assault,120,Overpass,inf,-inf,-531.96875,inf,-inf,-531.96875
cs_assault,1002,,inf,-inf,-863.96875,inf,-inf,-864.222168
cs_assault,2087,CTSpawn,inf,-inf,-871.96875,inf,-inf,-871.96875
cs_assault,2193,Street,inf,-inf,-871.96875,inf,-inf,-871.96875
cs_assault,2684,Overpass,inf,-inf,-567.96875,inf,-inf,-531.96875
cs_assault,4050,Warehouse,inf,-inf,-875.628113,inf,-inf,-876.651001
cs_assault,226,Office,inf,-inf,-607.96875,inf,-inf,-607.96875
cs_assault,249,Warehouse,inf,-inf,-831.96875,inf,-inf,-831.96875
cs_assault,697,Underpass,inf,-inf,-862.75354,inf,-inf,-853.038757
cs_assault,5459,Roof,inf,-inf,-394.891327,inf,-inf,-381.484985
cs_assault,767,CTSpawn,inf,-inf,-863.96875,inf,-inf,-863.96875
cs_assault,860,Warehouse,inf,-inf,-735.96875,inf,-inf,-735.96875
cs_assault,1195,Warehouse,inf,-inf,-863.96875,inf,-inf,-874.777344
cs_assault,5456,Roof,inf,-inf,-409.705994,inf,-inf,-396.063507
cs_assault,5655,Warehouse,inf,-inf,-735.96875,inf,-inf,-735.96875
cs_assault,65,FrontEntrance,inf,-inf,-871.96875,inf,-inf,-867.057922
cs_assault,185,Overpass,inf,-inf,-531.96875,inf,-inf,-531.96875
cs_assault,244,,inf,-inf,-531.96875,inf,-inf,-531.96875
cs_assault,3794,Catwalk,inf,-inf,-607.923584,inf,-inf,-607.96875
cs_assault,4647,Street,inf,-inf,-863.96875,inf,-inf,-864.079407
cs_assault,4784,CTSpawn,inf,-inf,-871.96875,inf,-inf,-863.96875
cs_assault,22,FrontEntrance,inf,-inf,-867.117126,inf,-inf,-871.96875
cs_assault,492,Underpass,inf,-inf,-864.579346,inf,-inf,-863.96875
cs_assault,2453,Overpass,inf,-inf,-531.96875,inf,-inf,-567.96875
cs_assault,4713,Warehouse,inf,-inf,-872.131165,inf,-inf,-875.346741
cs_assault,4969,Street,inf,-inf,-871.96875,inf,-inf,-864.436523
cs_assault,5710,Office,inf,-inf,-607.96875,inf,-inf,-607.96875
cs_assault,4602,Warehouse,inf,-inf,-874.065613,inf,-inf,-874.605408
cs_assault,5616,Catwalk,inf,-inf,-607.96875,inf,-inf,-607.96875
cs_assault,5688,BackDoor,inf,-inf,-863.793396,inf,-inf,-863.96875
cs_assault,270,Overpass,inf,-inf,-531.96875,inf,-inf,-531.96875
cs_assault,997,,inf,-inf,-863.96875,inf,-inf,-863.96875
cs_assault,3772,Warehouse,inf,-inf,-735.96875,inf,-inf,-735.96875
cs_assault,4034,Warehouse,inf,-inf,-735.96875,inf,-inf,-778.172302
